ra,dec,insmag_B,insmagerr_B,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.45119,-0.09524,-10.083,0.042,16.3513,0.0019,15.6332,0.0015,15.3253,0.0012,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.43835,-0.09338,-10.869,0.023,15.7777,0.0012,15.3928,0.0012,15.2394,0.001,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.64627,-0.09194,-10.233,0.037,16.273,0.005,15.4374,0.0021,15.1028,0.0017,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.55147,-0.08874,-10.599,0.028,15.9607,0.0048,15.3034,0.0015,15.0813,0.0011,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.63693,-0.08878,-9.882,0.05,16.7242,0.0039,16.2103,0.0017,15.9852,0.0022,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.51046,-0.08547,-11.205,0.019,15.3456,0.0016,14.756,0.0014,14.5203,0.003,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.4367,-0.08528,-9.964,0.049,16.6195,0.0029,16.1525,0.0009,15.9852,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.62439,-0.08384,-9.992,0.046,16.4902,0.0031,15.821,0.0024,15.5271,0.0013,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.55335,-0.0781,-10.13,0.042,16.5769,0.0038,16.1276,0.0025,15.9553,0.0009,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.59563,-0.07352,-10.518,0.028,16.0623,0.0028,15.4374,0.0022,15.1519,0.0012,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.63573,-0.06699,-11.597,0.016,15.1025,0.0038,14.7344,0.0013,14.5914,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.52837,-0.06,-9.544,0.064,16.8264,0.0043,15.8205,0.0025,15.422,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.61268,-0.05901,-10.332,0.029,16.1692,0.0018,15.4127,0.0023,15.1088,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.48972,-0.0545,-10.577,0.028,15.8743,0.003,15.1637,0.0023,14.8746,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.5479,-0.05459,-9.589,0.061,17.1318,0.002,16.7202,0.0022,16.5631,0.0017,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.4407,-0.04903,-10.076,0.046,16.2827,0.0025,15.2466,0.0039,14.8247,0.001,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.57035,-0.04334,-10.002,0.047,16.9485,0.002,16.5609,0.0019,16.3843,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.43659,-0.04184,-11.312,0.018,15.3349,0.0032,14.8947,0.0029,14.7266,0.0032,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.6141,-0.03948,-11.82,0.014,14.7479,0.0019,14.1613,0.0013,13.9568,0.0013,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.50147,-0.03749,-9.655,0.063,16.9511,0.0034,16.302,0.0019,16.0451,0.0015,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.6305,-0.03431,-10.048,0.047,16.6128,0.0022,16.1782,0.0017,16.0103,0.0025,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.60162,-0.03423,-9.523,0.07,17.2221,0.0025,16.8093,0.0023,16.6499,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.55452,-0.02949,-10.45,0.033,16.0193,0.0041,15.1865,0.0022,14.8641,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.57788,-0.02177,-10.242,0.037,15.9813,0.0184,14.7642,0.0102,14.2224,0.0022,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.52265,-0.01829,-9.679,0.062,17.0057,0.001,16.4981,0.0021,16.3057,0.0023,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.52593,-0.01457,-9.565,0.072,17.215,0.003,16.8019,0.0016,16.6157,0.0028,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.44585,-0.00613,-9.988,0.048,16.5315,0.0031,15.529,0.0021,15.1301,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.54062,-0.00097,-11.702,0.015,14.8598,0.0029,14.1895,0.0021,13.9214,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.5974,-0.00017,-11.159,0.019,15.481,0.003,14.9468,0.0017,14.7161,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.66573,0.00014,-9.619,0.065,17.0647,0.0035,16.655,0.002,16.4929,0.002,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.58375,0.00112,-10.281,0.037,16.0083,0.0036,14.7978,0.0071,14.1615,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.55949,0.00241,-9.736,0.057,16.9875,0.0043,16.5604,0.0023,16.3815,0.0021,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.66389,0.00459,-10.009,0.049,16.5541,0.0038,15.9623,0.0015,15.6748,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.50122,0.0053,-10.012,0.04,16.5858,0.0039,16.0596,0.0015,15.8455,0.002,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.6308,0.01391,-9.781,0.053,16.904,0.0026,16.4066,0.0016,16.1968,0.002,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.61271,0.01749,-10.68,0.026,15.9499,0.0034,15.499,0.0017,15.3194,0.0023,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.45209,0.01768,-10.529,0.026,16.1516,0.0022,15.7019,0.0017,15.5325,0.0025,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
