ra,dec,insmag_V,insmagerr_V,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.67198,-0.11006,-10.792,0.022,19.4355,0.0084,18.5433,0.0048,18.1051,0.0038,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.51346,-0.10574,-11.951,0.013,18.0287,0.0044,17.6155,0.0038,17.4646,0.0033,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.52959,-0.10611,-10.026,0.045,20.0442,0.0135,19.5122,0.0064,19.3504,0.0079,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61997,-0.10496,-12.058,0.012,18.0039,0.0031,17.4778,0.003,17.2617,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.64463,-0.10546,-9.982,0.049,20.0974,0.0153,19.5315,0.0064,19.2907,0.0061,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.64468,-0.1025,-12.079,0.012,17.8848,0.0046,17.5801,0.0024,17.4579,0.0025,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61786,-0.10357,-10.853,0.02,19.1671,0.0106,18.7326,0.0051,18.5398,0.0036,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.48303,-0.10353,-10.426,0.034,19.6042,0.0117,19.0344,0.0054,18.8125,0.0059,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.46135,-0.101,-10.891,0.023,19.3198,0.014,18.1397,0.0027,17.238,0.0034,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.56434,-0.10112,-10.954,0.021,19.0742,0.0047,18.573,0.0054,18.3444,0.0031,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.49226,-0.10056,-10.633,0.026,19.2681,0.0091,19.01,0.0077,18.9017,0.0053,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.54916,-0.09892,-12.405,0.011,17.5774,0.0037,17.2055,0.0037,17.0625,0.0023,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.54774,-0.10021,-10.819,0.023,19.4855,0.0095,18.2562,0.0034,16.9285,0.0022,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.66621,-0.09819,-12.741,0.011,17.274,0.0028,16.9045,0.0023,16.7505,0.0026,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61851,-0.09963,-10.451,0.028,19.9239,0.01,18.757,0.0056,18.1045,0.0028,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.5203,-0.09756,-11.795,0.013,18.4263,0.0036,17.4294,0.0024,17.0184,0.0024,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.51319,-0.09744,-11.528,0.014,18.5547,0.0074,17.9069,0.0025,17.6501,0.0031,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.5026,-0.09815,-10.281,0.036,19.9982,0.0145,18.8399,0.0068,17.5908,0.0047,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45124,-0.09535,-13.728,0.011,16.3513,0.0019,15.6332,0.0015,15.3253,0.0012,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.65417,-0.09647,-11.098,0.02,19.1914,0.0095,18.0915,0.0026,17.5855,0.0039,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61345,-0.09533,-11.789,0.014,,,,,,,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.43839,-0.09349,-14.156,0.011,15.7777,0.0012,15.3928,0.0012,15.2394,0.001,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.6462,-0.09208,-13.92,0.011,16.273,0.005,15.4374,0.0021,15.1028,0.0017,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.59956,-0.09543,-9.483,0.072,20.5671,0.0241,19.7462,0.0132,19.3976,0.0089,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.5104,-0.09084,-12.313,0.011,17.7294,0.0031,17.2016,0.0022,16.9729,0.0028,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.57132,-0.09279,-9.781,0.057,20.3262,0.0153,19.8205,0.0065,19.58,0.0088,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.55146,-0.0889,-14.159,0.01,15.9607,0.0048,15.3034,0.0015,15.0813,0.0011,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.64287,-0.09253,-9.848,0.053,20.5741,0.0235,19.3713,0.0047,18.3296,0.0034,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63979,-0.09157,-10.557,0.028,19.4446,0.0136,19.1075,0.0054,18.9892,0.0062,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.59993,-0.08817,-14.134,0.011,15.9138,0.0034,15.4404,0.003,15.2628,0.0012,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63689,-0.08891,-13.344,0.011,16.7242,0.0039,16.2103,0.0017,15.9852,0.0022,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.47232,-0.0904,-10.344,0.029,19.5878,0.0091,19.2954,0.0081,19.1803,0.0055,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.55786,-0.0891,-10.549,0.028,19.3952,0.0075,19.0718,0.0061,18.9274,0.0087,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.52182,-0.08903,-10.545,0.028,19.693,0.0108,18.7011,0.0052,18.2788,0.0035,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45418,-0.08969,-9.735,0.059,20.5097,0.0157,19.3959,0.0075,18.8626,0.0056,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.51047,-0.08561,-14.718,0.01,15.3456,0.0016,14.756,0.0014,14.5203,0.003,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.65957,-0.08871,-10.184,0.038,19.9128,0.0094,19.3499,0.0069,19.0951,0.0053,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61561,-0.08915,-9.781,0.056,20.2171,0.0087,19.7262,0.0097,19.5384,0.0081,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.58847,-0.08824,-9.55,0.064,20.4935,0.0199,20.0917,0.0176,19.8556,0.0107,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.47852,-0.08654,-9.458,0.073,20.7071,0.0204,19.7617,0.0101,19.3192,0.0064,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.62434,-0.084,-13.646,0.011,16.4902,0.0031,15.821,0.0024,15.5271,0.0013,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.5585,-0.08459,-10.56,0.03,19.5508,0.0123,18.8719,0.0052,18.6051,0.009,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
